year	month	day	tds-h	tds-m	epd-nxt epd-h	epd-m	tswfnxt	tswf	fq[kHz]	rswfnxt	rswf-h	rswf-m
2020	7	20	20	10	0	21	20	0	331:346	61	0	nan	nan
2020	7	21	3	0	0	3	45	0	nan	nan	0	nan	nan
2020	7	21	6	20	0	7	0	0	nan	nan	0	nan	nan
2020	7	21	7	5	0	7	50	0	nan	nan	0	nan	nan
2020	10	22	12	30	0	13	40	0	nan	nan	0	nan	nan
2020	11	17	1	50	0	2	20	0	nan	nan	0	nan	nan
2020	11	17	18	30	0	18	45	0	91:96	20	0	nan	nan
2020	11	18	3	45	0	4	15	0	nan	nan	0	nan	nan
2020	11	18	11	0	0	11	15	0	nan	nan	0	nan	nan
2020	11	18	13	40	0	13	45	0	77:84	17	0	14	15
2020	12	9	5	0	0	5	55	0	nan	nan	0	nan	nan
2020	12	10	7	20	0	8	15	0	45:60	24	0	nan	nan
2020	12	10	20	20	0	20	50	0	108:123	16	0	nan	nan
2020	12	10	23	40	1	0	0	1	15:32	16	1	1	5
2020	12	11	13	10	0	13	50	0	nan	nan	0	nan	nan
2020	12	12	8	40	0	9	48	0	nan	nan	0	nan	nan
2020	12	13	9	0	0	10	15	0	53:84	27	0	10	25
2021	3	5	16	30	0	16	33	0	119	37	0	nan	nan
2021	4	20	0	20	0	1	45	0	5:22	27	0	nan	nan
2021	5	7	19	10	0	20	55	0	nan	nan	0	nan	nan
2021	5	9	14	0	0	14	30	0	41:56	19	0	14	30
2021	5	21	23	5	0	23	30	1	6:11	17	1	0	55
2021	5	22	1	30	0	2	0	0	22:24	10	0	nan	nan
2021	5	22	3	0	0	3	12	0	25:37	10	0	3	35
2021	5	22	3	50	0	4	2	0	38:53	10	0	4	5
2021	5	22	6	55	0	7	5	0	54:69	10,20	0	7	10
2021	5	22	14	20	0	15	7	0	nan	nan	0	nan	nan
2021	5	22	15	20	0	16	10	0	125	26	0	nan	nan
2021	5	22	21	40	0	22	20	0	nan	nan	0	nan	nan
2021	5	23	4	40	0	5	0	0	5:20	17,22	0	nan	nan
2021	5	23	9	30	0	9	40	0	54:58	16	0	10	10
2021	5	23	11	10	0	11	20	0	59:68	16	0	11	30
2021	5	28	23	45	1	0	0	1	6:12	35	1	nan	nan
2021	6	12	19	25	0	20	30	0	nan	nan	0	nan	nan
2021	7	20	16	35	0	17	50	0	nan	nan	0	nan	nan
2021	7	22	9	0	0	10	5	0	nan	nan	0	nan	nan
2021	7	23	10	20	0	11	0	0	nan	nan	0	nan	nan
2021	7	24	0	12	0	0	52	0	22:33	28	0	1	40
2021	8	17	11	0	0	11	35	0	nan	nan	0	nan	nan
2021	8	24	13	25	0	13	20	0	113:130	37	0	nan	nan
2021	8	26	3	55	0	4	33	0	65,67,71:77	52	0	4	10
2021	8	26	18	30	0	18	30	0	297:315	45	0	18	50
2021	9	22	18	20	0	19	35	0	nan	nan	0	nan	nan
2021	9	23	15	40	0	17	0	0	nan	nan	0	nan	nan
2021	9	24	16	30	0	17	10	0	125:149	47	0	16	50
2021	9	26	11	45	0	12	5	0	408:415	20	0	12	28
2021	9	26	23	00	1	0	5	1	nan	nan	1	nan	nan
2021	9	27	11	50	0	12	12	0	nan	nan	0	nan	nan
2021	9	28	2	10	0	2	12	0	29:35	54	0	2	40
2021	9	28	7	15	0	7	12	0	nan	nan	0	nan	nan
2021	9	28	14	20	0	14	55	0	nan	nan	0	nan	nan
2021	10	6	4	0	0	4	3	0	65:71,73:96	39	0	4	25
2021	10	9	6	48	0	6	55	0	89:120	28	0	7	7
2021	10	28	15	40	0	16	27	0	529:560	40	0	16	30
2021	11	1	1	30	0	2	45	0	67,68,71,74	20	0	2	55
2021	11	1	21	40	0	22	17	0	291:296,298	27	0	nan	nan
2021	11	9	17	20	0	18	5	0	81:85	31	0	nan	nan
2021	12	4	7	55	0	8	5	0	25:40	17,19	0	8	35
2021	12	4	13	30	0	13	40	0	73:104	16	0	13	59
2021	12	6	5	45	0	6	11	0	60:75	18	0	6	30
2021	12	29	23	50	1	1	30	1	nan	nan	0	nan	nan
2021	12	31	10	10	0	10	45	0	41:81	23,26	0	11	45
2021	12	31	12	50	0	13	20	0	nan	nan	0	nan	nan
2021	12	31	15	15	0	16	55	0	114,115	10	0	nan	nan
2022	1	12	7	15	0	8	0	0	nan	nan	0	nan	nan
2022	1	14	13	40	0	14	0	0	159:206	32,39,42	0	14	25
2022	1	16	19	55	0	20	50	0	40,42:64,66:80,82:93	20,25	0	nan	nan
2022	1	18	17	55	0	18	10	0	74:89,93	17	0	18	25
2022	2	7	6	50	0	7	47	0	nan	nan	0	nan	nan
2022	2	7	19	20	0	20	10	0	412	42	0	21	10
2022	2	8	16	38	0	17	20	0	nan	nan	0	nan	nan
2022	2	8	21	45	0	22	45	0	751,752	46	0	nan	nan
